CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL,,,,ETRS89 Geodetic ( Decimal Degrees )
4329,NB43SW 4,"Lewis, Steinish",Coin Hoard,144900,933900,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 449 339,http://canmore.org.uk/site/4329,,,,"58.2197269815, -6.345801928, 56.3282"
4330,NB43SW 5,"Lewis, Creed",Axe Hammer,140000,932000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 40 32,http://canmore.org.uk/site/4330,,,,"58.1998501278, -6.4268379364, 56.5387"
4331,NB43SW 6,"Lewis, Stornoway Castle",Castle (Medieval),142130,932670,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4213 3267,http://canmore.org.uk/site/4331,,,,"58.2071002939, -6.3914506618, 56.4477"
4332,NB43SW 7,"Lewis, Sandwick",Lithic Implement (Stone),144000,932000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 44 32,http://canmore.org.uk/site/4332,,,,"58.2021897241, -6.3589871928, 56.3634"
4333,NB43SW 8,"Lewis, North Beach, St Lennans Church",Church (Period Unassigned),142230,932800,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4223 3280,http://canmore.org.uk/site/4333,,,,"58.2083229294, -6.3898980686, 56.4431"
4334,NB43SW 9,"Lewis, North Beach",Fort (Period Unassigned),142200,932700,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 422 327,http://canmore.org.uk/site/4334,,,,"58.2074098778, -6.3902962888, 56.4441"
4335,NB44SE 1,"Lewis, Coll",Axehead (Stone),146000,940000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 46 40,http://canmore.org.uk/site/4335,,,,"58.2749926211, -6.333805779, 56.3233"
4336,NB44SE 2,"Lewis, Carn A' Mharc","Chambered Cairn (Neolithic), Shieling Hut(S) (Post Medieval)(Possible)",147225,943846,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 47225 43846,http://canmore.org.uk/site/4336,,,,"58.3101428376, -6.3171815623, 56.3213"
4338,NB44SE 4,"Lewis, Gress Lodge","Midden (Period Unassigned), Souterrain (Prehistoric)",149380,941850,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4938 4185,http://canmore.org.uk/site/4338,,,,"58.2935010962, -6.2783463459, 56.2161"
4339,NB44SE 5,"Lewis, Gress",Axehead (Stone),149000,941000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 41,http://canmore.org.uk/site/4339,,,,"58.2856713912, -6.2838882817, 56.2185"
4340,NB44SE 6,"Lewis, Gress, Dun Ghrais",Dun (Period Unassigned)(Possible),149000,941000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 41,http://canmore.org.uk/site/4340,,,,"58.2856713912, -6.2838882817, 56.2185"
4341,NB44SE 7,"Gress Sands, Gress, Lewis","Unidentified Flint (Flint), Unidentified Pottery",149100,941400,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 491 414,http://canmore.org.uk/site/4341,,,,"58.2893109987, -6.282621187, 56.2203"
4342,NB44SE 8,"Dun Beinn Ivor, Loch Beinn Iobhair, Lewis",Dun (Period Unassigned)(Possible),149500,943600,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 495 436,http://canmore.org.uk/site/4342,,,,"58.3092431144, -6.2782004456, 56.2383"
4343,NB44SE 9,"Gress, Lewis",Souterrain (Prehistoric),149085,941540,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49085 41540,http://canmore.org.uk/site/4343,,,,"58.290556317, -6.2830280533, 56.2222"
4385,NB52NW 1,"Lewis, Eye, Chicken Head","Church (Period Unassigned), Shieling Hut(S) (Post Medieval), Unidentified Pottery",150780,929240,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5078 2924,http://canmore.org.uk/site/4385,,,,"58.1813525531, -6.2410048447, 56.0472"
4386,NB53NE 1,"Lewis, Dun Loch An Duin",Dun (Period Unassigned),155630,935910,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5563 3591,http://canmore.org.uk/site/4386,,,,"58.2438126575, -6.1657625155, 55.9105"
4388,NB53NW 1,"Lewis, Shulishader, Caisteal Mhic Creacail",Chambered Cairn (Neolithic),154317,936686,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 54317 36686,http://canmore.org.uk/site/4388,,,,"58.2500330965, -6.1888886281, 55.9747"
4389,NB53SE 1,"Lewis, Sheshader, Dun Dubh",Promontory Fort (Period Unassigned),155700,932670,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5570 3267,http://canmore.org.uk/site/4389,,,,"58.2148282641, -6.1611679447, 55.8636"
4390,NB53SE 2,"Lewis, Sheshader",Field System (Period Unassigned),155500,934800,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 555 348,http://canmore.org.uk/site/4390,,,,"58.2337974272, -6.1668026215, 55.9044"
4244,NB33SE 1,"Lewis, Loch Airidh Na Lic",Crannog (Period Unassigned),139920,934100,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 3992 3410,http://canmore.org.uk/site/4244,,,,"58.2186077127, -6.4305413503, 56.542"
4245,NB33SE 2,"Lewis, Loch Airidh Na Lic",Barbed And Tanged Arrowhead,139680,933930,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 3968 3393,http://canmore.org.uk/site/4245,,,,"58.2169437848, -6.4344239762, 56.551"
4246,NB33SE 3,"Lewis, Airigh An Da Mhile",Shieling Hut(S) (Post Medieval),138200,932300,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 382 323,http://canmore.org.uk/site/4246,,,,"58.2014719497, -6.4577045317, 56.6083"
4248,NB33SE 5,"Lewis, Loch Speireag",Shieling Hut(S) (Post Medieval),136200,931600,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 362 316,http://canmore.org.uk/site/4248,,,,"58.1940128881, -6.4908333301, 56.68"
4249,NB33SE 6,"Lewis, Airigh Na Gile",Shieling Hut(S) (Post Medieval),135600,932500,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 356 325,http://canmore.org.uk/site/4249,,,,"58.2017121299, -6.5020289963, 56.6974"
4250,NB33SE 7,"Airigh An Aip, Lewis","Sheepfold (Period Unassigned), Shieling Hut(S) (Post Medieval)",135400,934100,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 354 341,http://canmore.org.uk/site/4250,,,,"58.2159181229, -6.507240076, 56.7004"
4251,NB33SE 8,"Airigh Na Beiste, Lewis","Farmstead (Period Unassigned), Head Dyke (Post Medieval), Shieling Hut(S) (Post Medieval)",136500,934300,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 365 343,http://canmore.org.uk/site/4251,,,,"58.2183676858, -6.4888023848, 56.6664"
4252,NB33SW 1,"Lewis, Airigh A' Chreagain",Shieling Hut(S) (Post Medieval),134800,932100,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 348 321,http://canmore.org.uk/site/4252,,,,"58.1976505381, -6.5151417686, 56.7232"
4253,NB33SW 2,"Lewis, Loch Beag Thoma Dhuibhe",Shieling Hut(S) (Post Medieval),133800,931000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 3380 3100,http://canmore.org.uk/site/4253,,,,"58.1871997392, -6.5308431963, 56.7561"
4391,NB53SW 1,"Lewis, Tobar Huisdean",Holy Well (Period Unassigned),151360,933700,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5136 3370,http://canmore.org.uk/site/4391,,,,"58.2216276958, -6.2359318219, 56.0701"
4392,NB53SW 100,"Lewis, Lower Bayble","Mill(S) (Period Unassigned)(Possible), Township (Period Unassigned), Township (Period Unassigned)",152500,931300,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 525 313,http://canmore.org.uk/site/4392,,,,"58.2007720632, -6.2140263553, 55.9954"
4393,NB53SW 2,"Lewis, Garrabost, Cnoc Nan Dursainean",Chambered Cairn (Neolithic),152380,933070,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5238 3307,http://canmore.org.uk/site/4393,,,,"58.2165589661, -6.2179453115, 56.0243"
4394,NB53SW 3,"Lewis, Dun Mor",Promontory Fort (Period Unassigned),151430,933920,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5143 3392,http://canmore.org.uk/site/4394,,,,"58.2236377119, -6.2349786556, 56.0693"
4395,NB53SW 4,"Lewis, Garrabost, St Cowstan's Chapel",Chapel (Period Unassigned),151630,933550,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5163 3355,http://canmore.org.uk/site/4395,,,,"58.2204363961, -6.2311881071, 56.0585"
4396,NB53SW 5,"Lewis, Lower Bayble, Clach Stein",Standing Stone (Prehistoric),151650,931740,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5165 3174,http://canmore.org.uk/site/4396,,,,"58.2042354435, -6.2289169669, 56.0406"
4397,NB53SW 6,"Lewis, Lower Bayble, Loch An Duin",Dun (Period Unassigned),151682,930437,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 51682 30437,http://canmore.org.uk/site/4397,,,,"58.1925823951, -6.2269848855, 56.0216"
4398,NB53SW 7,"Lewis, Garrabost",Standing Stone (Prehistoric),152810,933400,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5281 3340,http://canmore.org.uk/site/4398,,,,"58.2197561747, -6.2109970994, 56.0095"
4399,NB53SW 80,"Lewis, Garrabost Brickworks","Brickworks (Period Unassigned), Tile Works (Period Unassigned)",150700,933177,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 50700 33177,http://canmore.org.uk/site/4399,,,,"58.2165704223, -6.2465752781, 56.0922"
4400,NB53SW 9,"Lewis, East Roisnish",Lazy Beds (Post Medieval),150620,933800,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5062 3380,http://canmore.org.uk/site/4400,,,,"58.2221052367, -6.2486010586, 56.0991"
4401,NB54NW 1,"Lewis, North Tolsta, Traigh Geiraha, Caisteal A' Mhorair",Dun (Period Unassigned),153680,949700,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5368 4970,http://canmore.org.uk/site/4401,,,,"58.3662456084, -6.2135759024, 56.1483"
4402,NB54NW 10,"Lewis, New Tolsta",Horizontal Mill (Period Unassigned),153240,948940,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5324 4894,http://canmore.org.uk/site/4402,,,,"58.3591907803, -6.2202619836, 56.1622"
4403,NB54NW 2,"Lewis, North Tolsta, Traigh Geiraha","Midden (Period Unassigned), Unidentified Pottery",153458,949840,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 53458 49840,http://canmore.org.uk/site/4403,,,,"58.3673747383, -6.2175099668, 56.1596"
4404,NB54NW 3,"Lewis, Lochside, Beinn Tharaburt","Cairn (Period Unassigned)(Possible), Shieling Hut (Post Medieval)(Possible)",152670,945870,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5267 4587,http://canmore.org.uk/site/4404,,,,"58.331371997, -6.226683635, 56.1501"
4405,NB54NW 4,"Lewis, North Tolsta, Cladh Mhicheil","Burial Ground (Period Unassigned), Church (Period Unassigned)",154400,948000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 544 480,http://canmore.org.uk/site/4405,,,,"58.3514225442, -6.1994906333, 56.1011"
4406,NB54NW 5,"Lewis, Tolsta",Lithic Implement,153000,947000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 53 47,http://canmore.org.uk/site/4406,,,,"58.341679213, -6.2222736549, 56.1538"
4407,NB54NW 6,"Lewis, Tolsta",Lithic Implement (Stone),153000,947000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 53 47,http://canmore.org.uk/site/4407,,,,"58.341679213, -6.2222736549, 56.1538"
4408,NB54NW 7,"Lewis, North Tolsta, Osavat",Crannog (Period Unassigned),153570,947280,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5357 4728,http://canmore.org.uk/site/4408,,,,"58.3445077887, -6.2128633869, 56.1301"
4409,NB54NW 8,"Lewis, New Tolsta",Horizontal Mill (Period Unassigned),153350,949020,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5335 4902,http://canmore.org.uk/site/4409,,,,"58.3599692512, -6.218472954, 56.1574"
4410,NB54NW 9,"Lewis, New Tolsta",Horizontal Mill (Period Unassigned),153290,948990,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5329 4899,http://canmore.org.uk/site/4410,,,,"58.359666774, -6.2194633994, 56.1605"
4411,NB54SW 1,"Lewis, Earabhic, Dun Beinn Earba",Dun (Period Unassigned)(Possible),151800,943800,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 518 438,http://canmore.org.uk/site/4411,,,,"58.3123403185, -6.2392742171, 56.152"
4412,NB54SW 2,"Lewis, Glen Tolsta",Trap,152000,944000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 52 44,http://canmore.org.uk/site/4412,,,,"58.3142446735, -6.2360849328, 56.1468"
4413,NB54SW 3,"Lewis, Gress","Midden (Period Unassigned), Unidentified Pottery",150400,941800,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 504 418,http://canmore.org.uk/site/4413,,,,"58.2936337893, -6.2609423841, 56.1776"
4294,NB43SE 6,"Lewis, Holm",Hoe (Stone),145550,931460,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4555 3146,http://canmore.org.uk/site/4294,,,,"58.1982505776, -6.3321024429, 56.2936"
4295,NB43NE 1,"Lewis, Upper Coll, Dunan",Chambered Cairn (Neolithic),145072,938199,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 45072 38199,http://canmore.org.uk/site/4295,,,,"58.2583267351, -6.3476007118, 56.3442"
4296,NB43NE 2,"Lewis, Coll Sands, Stornoway",Unidentified Pottery,146200,938700,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 462 387,http://canmore.org.uk/site/4296,,,,"58.2634655848, -6.3289825409, 56.3032"
4297,NB43NE 3,"Lewis, Tong",Axehead (Flint),145000,936000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 45 36,http://canmore.org.uk/site/4297,,,,"58.238591695, -6.3464084675, 56.3315"
4298,NB43NE 4,"Lewis, Upper Coll",Chambered Cairn (Neolithic),145180,938680,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4518 3868,http://canmore.org.uk/site/4298,,,,"58.2626969274, -6.3462941032, 56.3436"
4299,NB43NE 5,"Lewis, Coll Sands","Midden (Period Unassigned), Crucible, Unidentified Pottery",146000,938000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 46 38,http://canmore.org.uk/site/4299,,,,"58.2570811402, -6.3316147899, 56.3053"
4300,NB43NW 1,"Lewis, Laxdale, Priest's Glen",Stone Circle (Neol/bronze Age),141110,935190,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4111 3519,http://canmore.org.uk/site/4300,,,,"58.2290689735, -6.4115598986, 56.4949"
4301,NB43NW 2,"Lewis, Newmarket","Axehead(S) (Stone), Unidentified Flint (Flint)",142630,936760,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4263 3676,http://canmore.org.uk/site/4301,,,,"58.2440190368, -6.3874954078, 56.4355"
4302,NB43NW 3,"Lewis, Tong, Cnoc Mor Thunga",Iron Working Site(S) (Period Unassigned),144800,935700,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 448 357,http://canmore.org.uk/site/4302,,,,"58.2357891784, -6.3494752367, 56.338"
4303,NB43NW 4,"Lewis, Benside, Newmarket",Stone Setting (Neol/bronze Age),141320,935650,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4132 3565,http://canmore.org.uk/site/4303,,,,"58.2333115457, -6.4085069888, 56.4871"
4304,NB43SE 1,"Lewis, Rudha Shilldinish","Lazy Beds (Post Medieval), Promontory Fort (Period Unassigned), Settlement (Period Unassigned)",145460,930630,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4546 3063,http://canmore.org.uk/site/4304,,,,"58.1907653763, -6.3327223086, 56.2949"
4305,NB43SE 2,"Lewis, Aignish","Midden (Period Unassigned), Unidentified Pottery",148310,932100,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4831 3210,http://canmore.org.uk/site/4305,,,,"58.2055662051, -6.2859748802, 56.1777"
84669,NB43SW 29,"Lewis, Stornoway",Trough (Wood),140000,930000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4 3,http://canmore.org.uk/site/84669,,,,"58.1819409008, -6.4246065301, 56.5437"
71507,NB43SW 26,"Lewis, Cnoc Na Croich","Chambered Cairn (Neolithic), Execution Site (Post Medieval)",141730,932320,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4173 3232,http://canmore.org.uk/site/71507,,,,"58.2037319609, -6.3978486097, 56.4656"
71061,NB53SW 11,"Lewis, Shulishader","Handle, Polished Axehead (Stone)",153200,934400,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5320 3440,http://canmore.org.uk/site/71061,,,,"58.2289320365, -6.2054379447, 56.0041"
74205,NB43SE 100,"Lewis, Stornoway, Stornoway Airport; Highlands And Islands Airports Limited","Airfield (20th Century), Airport (20th Century)",145850,933370,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4585 3337,http://canmore.org.uk/site/74205,,,,"58.2155292359, -6.3290986867, 56.2855"
75182,NB53SW 12,"Lewis, Sheshader, Cnoc Na Cro",Textile,154100,932800,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5410 3280,http://canmore.org.uk/site/75182,,,,"58.2151032277, -6.1884636354, 55.9443"
77955,NB53SW 13,"Lewis, Loch Swordale",Dun (Period Unassigned),150200,931180,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5020 3118,http://canmore.org.uk/site/77955,,,,"58.1984007307, -6.2529189898, 56.0955"
82988,NB43NE 6,"Lewis, Traigh Chuil","Human Remains (Period Unassigned), Shell Midden (Period Unassigned)",146470,938950,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4647 3895,http://canmore.org.uk/site/82988,,,,"58.2658602059, -6.3246674839, 56.2943"
352039,NB33SE 54,Beinn Ghrideag,No Class (Event),136248,933466,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 36248 33466,http://canmore.org.uk/site/352039,,,,"58.2107494642, -6.4921329726, 56.6757"
106121,NB43SW 30,"Lewis, Stornoway, Seaplane Base",Seaplane Base (20th Century),141920,932810,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4192 3281,http://canmore.org.uk/site/106121,,,,"58.2082311609, -6.3951686516, 56.4569"
4308,NB43SE 5,"Lewis, Aignish, St Columba's Church","Burial Enclosure (Period Unassigned), Church (Medieval), Grave Slab(S) (Medieval)",148469,932260,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 48469 32260,http://canmore.org.uk/site/4308,,,,"58.2070899532, -6.2834499434, 56.1725"
128440,NB53SW 22,"Lewis, Lower Payble",Shieling Hut (Post Medieval)(Possible),151850,931120,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5185 3112,http://canmore.org.uk/site/128440,,,,"58.1987946034, -6.2248627233, 56.0237"
128083,NB54NW 297,"Lewis, North Tolsta",Township (Period Unassigned),153750,947450,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5375 4745,http://canmore.org.uk/site/128083,,,,"58.3461315905, -6.2099785015, 56.1238"
128084,NB54NW 291,"Lewis, North Tolsta",Township (Period Unassigned),153900,947700,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 539 477,http://canmore.org.uk/site/128084,,,,"58.3484550607, -6.2076898707, 56.1197"
128085,NB54SW 40,"Lewis, Glen Tolsta, Bun A' Ghlinne","Head Dyke(S) (Post Medieval), Mill(S) (Period Unassigned)(Possible), Township (Period Unassigned)",152200,944500,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5220 4450,http://canmore.org.uk/site/128085,,,,"58.318836001, -6.2332170562, 56.1473"
128086,NB54SW 41,"Lewis, Glen Tolsta, Bun A' Ghlinne",Mill(S) (Period Unassigned)(Possible),152110,944540,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5211 4454,http://canmore.org.uk/site/128086,,,,"58.3191434643, -6.2347920141, 56.1511"
128087,NB54SW 5,"Lewis, Sheilavaig Mor",Farmstead (Period Unassigned),151220,943220,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5122 4322,http://canmore.org.uk/site/128087,,,,"58.3068172611, -6.2485212061, 56.1672"
128088,NB54SW 6,"Lewis, Glen Tolsta",Shieling Hut (Post Medieval)(Possible),152490,944610,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5249 4461,http://canmore.org.uk/site/128088,,,,"58.3199848508, -6.2283983064, 56.1363"
128089,NB54SW 7,"Lewis, Druim Gillevat",Shieling Hut (Post Medieval)(Possible),151260,943940,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5126 4394,http://canmore.org.uk/site/128089,,,,"58.3132887107, -6.2486152799, 56.1762"
128090,NB54SW 8,"Lewis, Allt Gillevat",Shieling Hut (Post Medieval)(Possible),151430,943920,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5143 4392,http://canmore.org.uk/site/128090,,,,"58.3132058411, -6.245700416, 56.1692"
128091,NB54NW 11,"Lewis, Airighean Feadan Na Ba Ruaidhe",Shieling Hut(S) (Post Medieval)(Possible),150000,947200,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5000 4720,http://canmore.org.uk/site/128091,,,,"58.3417709518, -6.2735891853, 56.2685"
128092,NB54NW 13,"Lewis, Loch Scarrasdale",Shieling Hut(S) (Post Medieval)(Possible),150490,949740,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5049 4974,http://canmore.org.uk/site/128092,,,,"58.3647991832, -6.267992549, 56.2725"
128093,NB54NW 12,"Lewis, Airighean Loch Scarrasdale",Shieling Hut(S) (Post Medieval)(Possible),150450,949630,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5045 4963,http://canmore.org.uk/site/128093,,,,"58.363791208, -6.2685551318, 56.2731"
128094,NB54NW 14,"Lewis, Gearraidh Ionadagro",Shieling Hut(S) (Post Medieval)(Possible),151830,946170,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5183 4617,http://canmore.org.uk/site/128094,,,,"58.333584757, -6.2413101868, 56.1883"
128095,NB54NW 15,"Lewis, Bhinn Dean",Shieling Hut(S) (Post Medieval)(Possible),152750,945300,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5275 4530,http://canmore.org.uk/site/128095,,,,"58.3263116424, -6.2247108881, 56.1373"
128096,NB54NW 16,"Lewis, Loch Gaineamhaich",Shieling Hut(S) (Post Medieval)(Possible),150800,947670,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5080 4767,http://canmore.org.uk/site/128096,,,,"58.346435725, -6.260470561, 56.2453"
128097,NB54NW 17,"Lewis, Gearraidh A' Muigh","Building(S) (Period Unassigned), Fishing Station (Period Unassigned)(Possible)",154080,946200,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5408 4620,http://canmore.org.uk/site/128097,,,,"58.3351203423, -6.2030239486, 56.0916"
