id no,name,longitude,latitude
37,Archaeological Site of Carthage,10.32546212,36.84238415
37,Archaeological Site of Carthage,10.32399973,36.8377307
37,Archaeological Site of Carthage,10.31521854,36.85153799
332,Punic Town of Kerkuane and its Necropolis,11.0990538,36.94626965
332,Punic Town of Kerkuane and its Necropolis,11.08630505,36.95586453
498,Medina of Sousse,10.63771385,35.82502914
36,Medina of Tunis,10.16998584,36.79955799
484,Xanthos-Letoon,29.31534643,36.35509594
356,Historic Areas of Istanbul,28.957201,41.01964802
1018,Ephesus,27.36227142,37.95016855
356,Historic Areas of Istanbul,28.96111318,41.01574651
356,Historic Areas of Istanbul,28.97985488,41.00872839
356,Historic Areas of Istanbul,28.91737319,41.00362273
1018,Ephesus,27.33708906,37.9390385
484,Xanthos-Letoon,29.29342244,36.32730922
484,Xanthos-Letoon,29.32276492,36.35887549
1018,Ephesus,27.33361,37.91167
1018,Ephesus,27.359444,37.929167
1500,Gorham's Cave Complex,-5.342574617,36.12118023
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily,14.51300634,37.23827781
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),15.0844499,37.50344963
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),14.79481128,37.27148601
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),14.760722,36.86030602
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),15.07001831,36.89101606
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),14.903,37.062806
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),14.73482715,36.92546661
1024,Late Baroque Towns of the Val di Noto  South-Eastern Sicily),14.70650159,36.79356395
1533,Venetian Works of Defence between 15th and 17th centuries: Stato da Terra  western Stato da Mar,9.663611,45.703333
1533,Venetian Works of Defence between 15th and 17th centuries: Stato da Terra  western Stato da Mar,10.694167,45.438889
1533,Venetian Works of Defence between 15th and 17th centuries: Stato da Terra   western Stato da Mar,13.309722,45.906111
1533,Venetian Works of Defence between 15th and 17th centuries: Stato da Terra   western Stato da Mar,15.230278,44.111667
1533,Venetian Works of Defence between 15th and 17th centuries: Stato da Terra   western Stato da Mar,15.854722,43.721389
1533,Venetian Works of Defence between 15th and 17th centuries: Stato da Terra – western Stato da Mar,18.771944,42.423611
